time;0.0: zero MNF;0.1: a=1.1 b=5;1.0: sin.pert.;1.1: a=1.1 b=5;2.0: exp;2.1: a=1.1 b=5
39846;23.11804667;28.04846202;23.11804667;29.30170256;50.69194093;58.71548776
39846.01042;19.332325;26.45960828;19.58520472;26.20729577;40.53732711;46.74941644
39846.02083;17.50213571;23.70910695;17.95903241;25.90176308;35.79841587;43.36675583
39846.03125;16.89905333;24.08968235;17.55842168;23.48317493;34.2632039;43.8458058
39846.04167;13.2654625;18.39345454;13.9521339;19.46008371;25.316461;30.44695149
39846.05208;10.14472143;16.98642856;10.79690379;15.92485788;18.10506788;23.78623626
39846.0625;8.314586667;15.85658395;8.950957579;16.23072631;14.11889897;20.9493092
39846.07292;5.80666875;10.86863271;6.320313751;12.67554182;9.013818619;14.75590797
39846.08333;5.449114286;11.29876712;5.994025516;11.53667649;8.325443842;13.84864472
39846.09375;4.078546667;9.256083954;4.531730491;9.021272024;5.796045617;10.55127256
39846.10417;2.8258875;8.302758305;3.169945856;8.883424191;3.663899778;9.02232074
39846.11458;2.84835;8.404162173;3.22395944;9.298716932;3.700340525;8.879575886
39846.125;1.76516;6.53603353;2.014791321;7.194666349;2.03460495;7.186219195
39846.13542;0.71053125;6.307398859;0.817372405;5.850478179;0.652347465;5.941670796
39846.14583;1.548857143;6.569077853;1.794615301;6.610356792;1.72788249;7.126594432
39846.15625;0.259253333;5.261926831;0.302365587;5.663108095;0.18499306;5.334420797
39846.16667;0.8799375;5.921825441;1.032347164;6.288290472;0.85224563;5.985336066
39846.17708;1.006392857;5.771835563;1.186914103;6.680409218;1.007997447;6.595775666
39846.1875;0.00204;5.038155023;0.002416943;5.310343454;0.000433549;4.880967742
39846.19792;0.78071875;5.660514544;0.928575982;5.58630945;0.733868526;5.864500398
39846.20833;0.955814286;6.010833665;1.140463416;5.835396301;0.945076353;6.263286549
39846.21875;1.322333333;6.318662627;1.581718347;6.769812722;1.417999841;6.417782757
39846.22917;2.10245;7.040923255;2.519342661;7.759630877;2.53167;8.27051824
39846.23958;2.984407143;7.804728612;3.580010594;9.386966844;3.922587034;10.51183864
39846.25;3.622706667;9.120563938;4.347248;9.784198936;4.997944888;10.96116327
